Онуфрий (Онуфриевич, Онуфриевна)
Орест (Орестович, Орестовна)
Осип (Осипович, Осиповна)
Оскар (Оскарович, Оскаровна)
Остап (Остапович, Остаповна)
Павел (Павлович, Павловна)
Павлин (Павлинович, Павлиновна)
Палладий (Палладиевич, Палладиевна)
Памфил (Памфилович, Памфиловна)
Памфилий (Памфильевич, Памфильевна)
Панкрат (Панкратович, Панкратовна)
Панкратий (Панкратиевич, Панкратиевна)
Пантелей (Пантелеевич, Пантелеевна)
Пантелеймон (Пантелеймонович, Пантелеймоновна)
Панфил (Панфилович, Панфиловна)
Парамон (Парамонович, Парамоновна)
Пармен (Парменович, Парменовна)
Пармён (Пармёнович, Пармёновна)
Парфён (Парфёнович, Парфёновна)
Парфений (Парфениевич, Парфениевна)
Парфентий (Парфентьевич, Парфентьевна)
Патрикей (Патрикеевич, Патрикеевна)
Патрикий (Патрикиевич, Патрикиевна)
Пафнутий (Пафнутиевич, Пафнутиевна)
Пахом (Пахомович, Пахомовна)
Пахомий (Пахомиевич, Пахомиевна)
Пётр (Петрович, Петровна)
Пимен (Пименович, Пименовна)
Платон (Платонович, Платоновна)
Полиевкт (Полиевктович, Полиевктовна)
Полиект (Полиектович, Полиектовна)
Поликарп (Поликарпович, Поликарповна)
Поликарпий (Поликарпиевич, Поликарпиевна)
Порфир (Порфирович, Порфировна)
Порфирий (Порфириевич, Порфириевна)
Потап (Потапович, Потаповна)
Пров (Прович, Провна)
Прокл (Проклович, Прокловна)
Прокоп (Прокопович, Прокоповна)
Прокопий (Прокопиевич, Прокопиевна)
Прокофий (Прокофьевич, Прокофьевна)
Протас (Протасович, Протасовна)
Протасий (Протасиевич, Протасиевна)
Прохор (Прохорович, Прохоровна)
Радий (Радиевич, Радиевна)
Рафаил (Рафаилович, Рафаиловна)
Роберт (Робертович, Робертовна)
Родион (Родионович, Родионовна)
Роман (Романович, Романовна)
Ростислав (Ростиславович, Ростиславовна)
Рудольф (Рудольфович, Рудольфовна)
Рюрик (Рюрикович, Рюриковна)
Савва (Саввич, Саввична)
Савватей (Савватеевич, Савватеевна)
Савватий (Савватиевич, Савватиевна)
Савёл (Савёлович, Савёловна)
Савелий (Савелиевич, Савелиевна)
Самойла (Самойлович, Самойловна)
Самсон (Самсонович, Самсоновна)
Самуил (Самуилович, Самуиловна)
Святослав (Святославович, Святославовна)
Севастьян (Севастьянович, Севастьяновна)
Северьян (Северьянович, Северьяновна)
Селиван (Селиванович, Селивановна)
Селивёрст (Селивёрстович, Селивёрстовна)
Селифан (Селифанович, Селифановна)
Семён (Семёнович, Семёновна)
Серафим (Серафимович, Серафимовна)
Сергей (Сергеевич, Сергеевна)
Сидор (Сидорович, Сидоровна)
Силантий (Силантиевич, Силантиевна)
Сильвестр (Сильвестрович, Сильвестровна)
Симон (Симонович, Симоновна)
Созон (Созонович, Созоновна)
Созонт (Созонтович, Созонтовна)
Созонтий (Созонтьевич, Созонтьевна)
Соломон (Соломонович, Соломоновна)
Софон (Софонович, Софоновна)
Софоний (Софониевич, Софониевна)
Софрон (Софронович, Софроновна)
Софроний (Софрониевич, Софрониевна)
Спиридон (Спиридонович, Спиридоновна)
Спиридоний (Спиридонович, Спиридоновна)
Станислав (Станиславович, Станиславовна)
Степан (Степанович, Степановна)
Сысой (Сысоевич, Сысоевна)
Тарас (Тарасович, Тарасовна)
Терентий (Терентиевич, Терентиевна)
Тимофей (Тимофеевич, Тимофеевна)
Тимур (Тимурович, Тимуровна)
Тит (Титович, Титовна)
Тихон (Тихонович, Тихоновна)
Трифилий (Трифилиевич, Трифилиевна)
Трифон (Трифонович, Трифоновна)
Трофим (Трофимович, Трофимовна)
Ульян (Ульянович, Ульяновна)
Устин (Устинович, Устиновна)
Фадей (Фадеевич, Фадеевна)
Фёдор (Фёдорович, Фёдоровна)
Федос (Федосович, Федосовна)
Федосей (Федосеевич, Федосеевна)
Федот (Федотович, Федотовна)
Федотий (Федотиевич, Федотиевна)
Феликс (Феликсович, Феликсовна)
Феоктист (Феоктистович, Феоктистовна)
Феофан (Феофанович, Феофановна)
Феофил (Феофилович, Феофиловна)
Феофилакт (Феофилактович, Феофилактовна)
Ферапонт (Ферапонтович, Ферапонтовна)
Филарет (Филаретович, Филаретовна)
Филат (Филатович, Филатовна)
Филимон (Филимонович, Филимоновна)
Филипий (Филипьевич, Филипьевна)
Филипп (Филиппович, Филипповна)
Фирс (Фирсович, Фирсовна)
Флегонт (Флегонтович, Флегонтовна)
Фока (Фокич, Фокична)
Фома (Фомич, Фоминична)
Фотий (Фотиевич, Фотиевна)
Фридрих (Фридрихович, Фридриховна)
Фрол (Фролович, Фроловна)
Харитон (Харитонович, Харитоновна)
Харитоний (Харитониевич, Харитониевна)
Харлам (Харламович, Харламовна)
Харламп (Харлампович, Харламповна)
Харлампий (Харлампиевич, Харлампиевна)
Хрисанф (Хрисанфович, Хрисанфовна)
